,Fish lenght[mm],eye area ratio,yolk sac area ratio,yolk sac breadth ratio,clusters2,clusters3,clusters4
control (fishwater)_C1-28,3.444,0.012775842044134728,0.05662020905923345,0.11962833914053428,0,2,1
1% DMSO_C1-28,3.299,0.013034252803879962,0.053349499848438925,0.13185813882994848,0,2,1
C2,3.2654,0.011637165431493844,0.0401175966190972,0.12173087523733693,0,2,1
C3,3.1660000000000004,0.007896399241945672,0.06190777005685407,0.16171825647504737,0,0,0
C5,3.503,0.012846131886954038,0.0439623180131316,0.12332286611475879,0,2,1
C7,3.2535,0.011065006915629325,0.05563239588135855,0.14430613185799906,0,2,1
C8,3.312,0.013285024154589374,0.04981884057971015,0.125,0,2,1
C9,3.435,0.013682678311499273,0.044832605531295484,0.11179039301310044,0,2,1
C10,3.1925,0.010023492560689115,0.0610806577916993,0.1379796397807361,0,0,0
C11,3.385,0.01240768094534712,0.053471196454948314,0.12850812407680945,0,2,1
C12,3.0385,0.01217706104986013,0.06911304920190883,0.16422576929405958,0,0,0
C13,3.162,0.012017710309930424,0.058191018342821,0.14626818469323213,0,0,0
C14,3.142,0.010184595798854234,0.059675366008911525,0.12826225334182048,0,0,0
C17,3.295,0.011532625189681336,0.06312594840667679,0.15386949924127466,0,2,1
C18,3.45,0.012753623188405798,0.057971014492753624,0.1255072463768116,0,2,1
C20,2.8055,0.009267510247727678,0.09802174300481199,0.19158795223667796,1,1,2
C22,1.89,0.0126984126984127,0.13597883597883598,0.2941798941798942,1,1,3
C23,3.533,0.01330314180583074,0.05406170393433343,0.11718086611944523,0,2,1
C24,3.068,0.013363754889178616,0.0743155149934811,0.1544980443285528,0,0,0
C27,2.827,0.010965688008489564,0.06827025114962858,0.14220021223912274,1,1,2
C28,3.0989999999999998,0.01548886737657309,0.07357212003872218,0.1442400774443369,0,0,0
control (fishwater)_C29-58,3.556,0.013217097862767153,0.04696287964004499,0.11051743532058492,0,2,1
1% DMSO_C29-58,3.315,0.012971342383107088,0.057315233785822026,0.1239819004524887,0,2,1
C34,3.2769999999999997,0.010985657613671042,0.06255721696673787,0.15166310649984746,0,2,1
C35,3.4210000000000003,0.014030985092078339,0.05349313066354867,0.12394036831335865,0,2,1
C38,2.762,0.013396089790007244,0.08291093410572048,0.16799420709630702,1,1,2
C39,3.321,0.010538994278831678,0.06504065040650407,0.13504968383017163,0,2,1
C43,3.39,0.011799410029498525,0.0607669616519174,0.13893805309734514,0,2,1
C44,3.375,0.011555555555555555,0.06696296296296296,0.1431111111111111,0,2,1
C46,3.321,0.012345679012345677,0.06112616681722373,0.1288768443239988,0,2,1
C51,3.359,0.010717475439118787,0.05864840726406668,0.14260196487049717,0,2,1
C52,3.407,0.01320810096859407,0.05312591722923394,0.11843263868506018,0,2,1
C55,3.332,0.01320528211284514,0.056422569027611044,0.1323529411764706,0,2,1
control (fishwater)_C59-88,3.298,0.011218920557913889,0.051546391752577324,0.14463311097634932,0,2,1
1% DMSO_C59-88,3.3655,0.01247957212895558,0.05378101322240381,0.14351507948298917,0,2,1
C60,3.3365,0.011988610819721265,0.049602877266596734,0.13232429192267345,0,2,1
C61,3.052,0.011467889908256881,0.07110091743119266,0.16841415465268678,0,0,0
C63,3.3689999999999998,0.012169783318492134,0.05253784505788068,0.13060255268625706,0,2,1
C64,3.1225,0.010728582866293034,0.06565252201761408,0.16253002401921535,0,0,0
C65,3.07,0.012052117263843651,0.07817589576547232,0.17964169381107492,0,0,0
C66,3.342,0.011819269898264512,0.049820466786355475,0.12731897067624176,0,2,1
C67,3.3360000000000003,0.011091127098321343,0.06414868105515587,0.1564748201438849,0,2,1
C70,3.157,0.011878365536902122,0.06382641748495407,0.13731390560658854,0,0,0
C71,3.095,0.010662358642972537,0.05557350565428109,0.15864297253634893,0,0,0
C72,3.138,0.014021669853409817,0.07361376673040154,0.16507329509241556,0,0,0
C73,3.2095,0.010749337903100172,0.05826452718491977,0.14394765539803708,0,0,0
C74,2.9875,0.012050209205020923,0.08117154811715481,0.1792468619246862,0,0,0
C76,3.362,0.011302795954788815,0.05101130279595479,0.13310529446757882,0,2,1
C77,3.205,0.012168486739469579,0.05210608424336973,0.12636505460218408,0,0,0
C80,3.3139999999999996,0.012522631261315633,0.05310802655401329,0.13548581774290888,0,2,1
C82,3.0980000000000003,0.011620400258231117,0.06391220142027114,0.13879922530664943,0,0,0
C86,3.262,0.014101778050275904,0.06407112201103617,0.15052115266707541,0,2,1
